location,station_ID,year,month,filename
Kent Ridge,71,2019,9,Kent Ridge_71_201909.csv
Pulau Ubin,106,2015,2,Pulau Ubin_106_201502.csv
Kent Ridge,71,2015,1,Kent Ridge_71_201501.csv
Bukit Panjang,64,2012,2,Bukit Panjang_64_201202.csv
Jurong Island,117,2024,6,Jurong Island_117_202406.csv
Pasir Panjang,116,2020,1,Pasir Panjang_116_202001.csv
Chai Chee,61,2014,12,Chai Chee_61_201412.csv
Somerset (Road),79,2012,3,Somerset (Road)_79_201203.csv
Ang Mo Kio,109,2019,4,Ang Mo Kio_109_201904.csv
Botanic Garden,120,2014,1,Botanic Garden_120_201401.csv
Admiralty West,105,2018,11,Admiralty West_105_201811.csv
Whampoa,123,2016,5,Whampoa_123_201605.csv
Dhoby Ghaut,118,2019,6,Dhoby Ghaut_118_201906.csv
Choa Chu Kang (West),11,2020,8,Choa Chu Kang (West)_11_202008.csv
Whampoa,123,2023,10,Whampoa_123_202310.csv
Clementi,50,2012,11,Clementi_50_201211.csv
Lower Peirce Reservoir,08,2021,4,Lower Peirce Reservoir_08_202104.csv
Simei,84,2024,6,Simei_84_202406.csv
Sentosa Island,60,2019,6,Sentosa Island_60_201906.csv
Choa Chu Kang (Central),114,2024,3,Choa Chu Kang (Central)_114_202403.csv
Nicoll Highway,119,2013,10,Nicoll Highway_119_201310.csv
Tuas West,82,2021,2,Tuas West_82_202102.csv
Jurong (North),101,2012,2,Jurong (North)_101_201202.csv
Semakau Island,102,2015,9,Semakau Island_102_201509.csv
Buona Vista,92,2017,2,Buona Vista_92_201702.csv
Queenstown,77,2024,2,Queenstown_77_202402.csv
Pasir Ris (West),29,2024,2,Pasir Ris (West)_29_202402.csv
Jurong (North),101,2018,7,Jurong (North)_101_201807.csv
Bukit Timah,90,2021,8,Bukit Timah_90_202108.csv
Kent Ridge,71,2012,10,Kent Ridge_71_201210.csv
Clementi,50,2023,10,Clementi_50_202310.csv
Ulu Pandan,35,2019,12,Ulu Pandan_35_201912.csv
Newton,111,2020,2,Newton_111_202002.csv
Ulu Pandan,35,2022,6,Ulu Pandan_35_202206.csv
Jurong (East),39,2012,9,Jurong (East)_39_201209.csv
Queenstown,77,2017,3,Queenstown_77_201703.csv
East Coast Parkway,107,2014,10,East Coast Parkway_107_201410.csv
Macritchie Reservoir,07,2023,3,Macritchie Reservoir_07_202303.csv
Mandai,40,2023,6,Mandai_40_202306.csv
Pulau Ubin,106,2017,8,Pulau Ubin_106_201708.csv
Clementi,50,2012,5,Clementi_50_201205.csv
Admiralty,104,2016,6,Admiralty_104_201606.csv
Semakau Island,102,2015,6,Semakau Island_102_201506.csv
East Coast Parkway,107,2020,5,East Coast Parkway_107_202005.csv
Jurong (West),44,2019,5,Jurong (West)_44_201905.csv
Bukit Timah,90,2016,7,Bukit Timah_90_201607.csv
Choa Chu Kang (West),11,2014,1,Choa Chu Kang (West)_11_201401.csv
Tanjong Katong,78,2022,4,Tanjong Katong_78_202204.csv
Yishun,91,2013,11,Yishun_91_201311.csv
Queenstown,77,2013,11,Queenstown_77_201311.csv
East Coast Parkway,107,2015,12,East Coast Parkway_107_201512.csv
Sentosa Island,60,2014,11,Sentosa Island_60_201411.csv
Marine Parade,113,2017,9,Marine Parade_113_201709.csv
Serangoon North,110,2016,9,Serangoon North_110_201609.csv
Serangoon North,110,2014,8,Serangoon North_110_201408.csv
Ang Mo Kio,109,2020,5,Ang Mo Kio_109_202005.csv
Tengah,23,2016,9,Tengah_23_201609.csv
Tuas,89,2020,7,Tuas_89_202007.csv
Tengah,23,2016,4,Tengah_23_201604.csv
Whampoa,123,2014,4,Whampoa_123_201404.csv
Tuas,89,2020,1,Tuas_89_202001.csv
Ulu Pandan,35,2017,6,Ulu Pandan_35_201706.csv
Jurong Pier,33,2024,2,Jurong Pier_33_202402.csv
Semakau Island,102,2023,12,Semakau Island_102_202312.csv
East Coast Parkway,107,2013,6,East Coast Parkway_107_201306.csv
Changi Climate Station,24,2017,11,Changi Climate Station_24_201711.csv
Jurong Island,117,2022,6,Jurong Island_117_202206.csv
Somerset (Road),79,2015,4,Somerset (Road)_79_201504.csv
Buangkok,55,2018,8,Buangkok_55_201808.csv
Tuas South,115,2017,5,Tuas South_115_201705.csv
Marine Parade,113,2020,5,Marine Parade_113_202005.csv
Toa Payoh,88,2018,12,Toa Payoh_88_201812.csv
Jurong Island,117,2022,8,Jurong Island_117_202208.csv
Macritchie Reservoir,07,2021,5,Macritchie Reservoir_07_202105.csv
Choa Chu Kang (Central),114,2019,6,Choa Chu Kang (Central)_114_201906.csv
Admiralty,104,2015,10,Admiralty_104_201510.csv
Serangoon,36,2022,6,Serangoon_36_202206.csv
Kampong Bahru,31,2016,10,Kampong Bahru_31_201610.csv
Lower Peirce Reservoir,08,2021,3,Lower Peirce Reservoir_08_202103.csv
Serangoon North,110,2013,9,Serangoon North_110_201309.csv
Dhoby Ghaut,118,2020,3,Dhoby Ghaut_118_202003.csv
Chai Chee,61,2015,1,Chai Chee_61_201501.csv
Serangoon,36,2019,10,Serangoon_36_201910.csv
Sentosa Island,60,2012,12,Sentosa Island_60_201212.csv
Buangkok,55,2017,10,Buangkok_55_201710.csv
Ulu Pandan,35,2013,7,Ulu Pandan_35_201307.csv
Serangoon North,110,2013,2,Serangoon North_110_201302.csv
Kent Ridge,71,2017,11,Kent Ridge_71_201711.csv
Jurong (North),101,2018,9,Jurong (North)_101_201809.csv
Jurong Pier,33,2016,12,Jurong Pier_33_201612.csv
Sentosa Island,60,2015,10,Sentosa Island_60_201510.csv
Bukit Panjang,64,2021,1,Bukit Panjang_64_202101.csv
Jurong Pier,33,2015,2,Jurong Pier_33_201502.csv
Tuas West,82,2015,6,Tuas West_82_201506.csv
Whampoa,123,2012,9,Whampoa_123_201209.csv
Marine Parade,113,2022,4,Marine Parade_113_202204.csv
Jurong (West),44,2021,6,Jurong (West)_44_202106.csv
Buona Vista,92,2013,7,Buona Vista_92_201307.csv
Mandai,40,2015,4,Mandai_40_201504.csv
Chai Chee,61,2014,7,Chai Chee_61_201407.csv
Buangkok,55,2012,4,Buangkok_55_201204.csv
Dhoby Ghaut,118,2023,9,Dhoby Ghaut_118_202309.csv
Somerset (Road),79,2018,4,Somerset (Road)_79_201804.csv
Buona Vista,92,2014,5,Buona Vista_92_201405.csv
Pasir Panjang,116,2020,4,Pasir Panjang_116_202004.csv
Tuas West,82,2015,3,Tuas West_82_201503.csv
Pasir Ris (West),29,2017,2,Pasir Ris (West)_29_201702.csv
Serangoon North,110,2017,1,Serangoon North_110_201701.csv
Botanic Garden,120,2012,5,Botanic Garden_120_201205.csv
Ulu Pandan,35,2019,4,Ulu Pandan_35_201904.csv
Kent Ridge,71,2018,9,Kent Ridge_71_201809.csv
Macritchie Reservoir,07,2019,4,Macritchie Reservoir_07_201904.csv
Kent Ridge,71,2020,6,Kent Ridge_71_202006.csv
Toa Payoh,88,2015,12,Toa Payoh_88_201512.csv
Whampoa,123,2016,11,Whampoa_123_201611.csv
Tuas,89,2022,1,Tuas_89_202201.csv
Somerset (Road),79,2022,9,Somerset (Road)_79_202209.csv
Serangoon North,110,2015,4,Serangoon North_110_201504.csv
Macritchie Reservoir,07,2024,4,Macritchie Reservoir_07_202404.csv
Marine Parade,113,2020,4,Marine Parade_113_202004.csv
Upper Peirce Reservoir,69,2020,12,Upper Peirce Reservoir_69_202012.csv
Macritchie Reservoir,07,2016,6,Macritchie Reservoir_07_201606.csv
Kent Ridge,71,2013,6,Kent Ridge_71_201306.csv
Ang Mo Kio,109,2018,5,Ang Mo Kio_109_201805.csv
Chai Chee,61,2012,8,Chai Chee_61_201208.csv
Punggol,81,2015,11,Punggol_81_201511.csv
Sentosa Island,60,2017,8,Sentosa Island_60_201708.csv
Tai Seng,43,2017,6,Tai Seng_43_201706.csv
East Coast Parkway,107,2015,8,East Coast Parkway_107_201508.csv
Buona Vista,92,2016,9,Buona Vista_92_201609.csv
Bukit Timah,90,2014,4,Bukit Timah_90_201404.csv
Tuas West,82,2020,6,Tuas West_82_202006.csv
Tai Seng,43,2013,8,Tai Seng_43_201308.csv
Jurong Island,117,2023,10,Jurong Island_117_202310.csv
Mandai,40,2019,4,Mandai_40_201904.csv
Bukit Timah,90,2022,11,Bukit Timah_90_202211.csv
Pasir Panjang,116,2012,11,Pasir Panjang_116_201211.csv
Toa Payoh,88,2024,6,Toa Payoh_88_202406.csv
Buangkok,55,2013,5,Buangkok_55_201305.csv
Jurong (West),44,2013,4,Jurong (West)_44_201304.csv
Upper Peirce Reservoir,69,2016,2,Upper Peirce Reservoir_69_201602.csv
Pasir Ris (Central),94,2013,8,Pasir Ris (Central)_94_201308.csv
Admiralty,104,2014,3,Admiralty_104_201403.csv
Lim Chu Kang,112,2019,9,Lim Chu Kang_112_201909.csv
Tanjong Pagar,72,2014,2,Tanjong Pagar_72_201402.csv
Mandai,40,2019,1,Mandai_40_201901.csv
Tanjong Katong,78,2014,5,Tanjong Katong_78_201405.csv
Lim Chu Kang,112,2022,5,Lim Chu Kang_112_202205.csv
Choa Chu Kang (West),11,2021,10,Choa Chu Kang (West)_11_202110.csv
Toa Payoh,88,2015,6,Toa Payoh_88_201506.csv
Choa Chu Kang (West),11,2020,5,Choa Chu Kang (West)_11_202005.csv
Nicoll Highway,119,2014,9,Nicoll Highway_119_201409.csv
Choa Chu Kang (South),121,2018,2,Choa Chu Kang (South)_121_201802.csv
Jurong (North),101,2013,1,Jurong (North)_101_201301.csv
Kampong Bahru,31,2016,5,Kampong Bahru_31_201605.csv
Whampoa,123,2013,6,Whampoa_123_201306.csv
Simei,84,2012,12,Simei_84_201212.csv
Tai Seng,43,2021,12,Tai Seng_43_202112.csv
Tuas,89,2014,5,Tuas_89_201405.csv
Ang Mo Kio,109,2012,1,Ang Mo Kio_109_201201.csv
Marine Parade,113,2023,4,Marine Parade_113_202304.csv
